Plot #,Tag #,Species ,Status,DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Distance to woody indv. (m),Lifeform code for woody neighbor,Distance to CWD (m),Comment
_158,131,PIJE,L,42.55,18,90,C,11,1.75,,0,,,,,,,
_158,133,PIJE,L,10.3,5,50,S,2.4,0.8,,0,,,,,,,
_158,134,PIJE,L,63.2,22,100,C,15,2,,0,,,,,,,
_158,135,PIJE,L,42.9,18.6,100,C,12.2,2.1,,0,,,,,,,
_158,138,PIJE,L,12.95,5.8,80,S,0.7,0.95,,0,,,,,,,
_158,139,PIJE,D,14.4,4.5,,,,,2,0,,,,,,,
_158,140,PIJE,L,45,17.4,70,C,11.2,2,,0,,,,,,,
_190,,,,,,,,,,,,,,,,,,
_190,226,QUKE,L,15.1,7,100,I,0,2.5,,,,,,,,,
_190,227,QUKE,L,18,7.4,100,I,0,2.75,,,,,,,,,
_190,228,QUKE,L,9.45,5.8,100,I,1,2.25,,,,,,,,,
_190,229,QUKE,L,9.15,5.7,100,I,0.5,2.25,,,,,,,,,
_190,230,QUKE,L,10.15,4.3,100,I,0,1.5,,,,,,,,,
_190,231,QUKE,L,13.1,6.3,100,C,0.1,2,,,,,,,,,
_190,232,QUKE,L,10.9,6.5,90,C,1.1,2,,,,,,,,,
_190,236,QUKE,L,9.15,6.5,100,I,0,1.5,,,,,,,,,
_190,238,QUKE,L,45.85,8.6,80,C,0,4,,,,,,,top broke off. ,,
_191,,,,,,,,,,,,,,,,,,
_191,240,QUKE,L,15.8,7.9,100,I,0.4,3.5,,,,,,,,,
_191,241,QUKE,L,12.85,6,100,I,0.5,1.5,,,,,,,,,
_191,242,QUKE,L,13.3,7.5,100,I,2,1.5,,,,,,,,,
_191,243,QUKE,L,10.9,6,100,I,0.6,1.5,,,,,,,,,
_191,244,QUKE,L,11.95,6.1,100,I,0.8,2,,,,,,,,,
_191,245,QUKE,L,8.05,2.5,100,S,0.6,1.5,,,,,,,,,
_191,246,QUKE,L,25.6,10,100,C,0.5,2.5,,,,,,,,,
_191,247,QUKE,L,8.5,5.1,100,S,0.6,1,,,,,,,,,
_191,251,QUKE,L,14.7,7.2,100,I,0,2,,,,,,,,,
_191,252,QUKE,L,13.05,6,100,I,0,1.25,,,,,,,,,
