MacroPlot.Name,Monitoring.Status, Date,TagNo,Species ,Status,Top Kill    (Y/N),DBH,Height,Crown Ratio,Crown Class,Base to Crown (m),Crown Radius,Decay Class (dead),Char Ht (m),Scorch Ht (m),Scorth %,Torch %,Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Resprout Count,Comment
_199,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_199,PostBurnYear1,2022,212,QUKE,L,N,49.3,14.2,60,C,7.6,6.4,,1.36,7.6,40,,Y,N,,,,
_199,PostBurnYear1,2022,213,QUKE,L,N,39.5,8.4,40,C,5.8,4.5,,0.6,5.8,60,,Y,N,,,,
_199,PostBurnYear1,2022,214,QUKE,D,N,21,4,,,,,5,4,,,,N,N,,,,
_199,PostBurnYear1,2022,215,QUKE,D,N,,,,,,,,,,,,N,N,,,,Gone.
_199,PostBurnYear1,2022,216,QUKE,L,N,35.05,10.8,30,C,7.9,1.5,,0.3,9.2,70,,Y,N,,,,
_199,PostBurnYear1,2022,217,PIJE,D,N,13.15,4.3,,,,,1,1.6,4.3,100,,N,N,,,,
_199,PostBurnYear1,2022,218,PIJE,D,N,23.85,8,,,,,1,3.2,8,100,,N,N,,,,
_199,PostBurnYear1,2022,220,QUKE,D,N,64,9,,,,,1,2.96,9,80,,N,N,,,,
_199,PostBurnYear1,2022,221,QUKE,D,N,48.1,9.7,,,,,1,4,9.6,80,,N,N,,,,
_199,PostBurnYear1,2022,222,PIJE,L,N,25.65,12.6,40,C,8.4,1.25,,3.9,8.4,60,,N,N,,,,
_199,PostBurnYear1,2022,223,PIJE,D,N,18.05,6.8,,,,,1,6.8,6.8,80,,N,N,,,,
_199,PostBurnYear1,2022,224,QUKE,L,N,92.7,10.9,30,C,4.2,3,,0.3,6.5,60,,N,N,,,,
_200,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_200,PostBurnYear1,2022,199,QUKE,D,N,54.3,4.4,,,,,5,0,,,,N,N,,,,
_200,PostBurnYear1,2022,202,QUKE,L,N,8.1,5.9,60,I,4.3,1.75,,0.3,4.5,40,,Y,N,,,,
_200,PostBurnYear1,2022,203,QUKE,L,N,23.05,7.2,70,I,4,3.5,,1,4.5,30,,Y,N,,,,
_200,PostBurnYear1,2022,204,QUKE,L,N,11.35,6.3,60,I,3.5,2,,0.3,3.1,10,,Y,Y,19,10,1,
_200,PostBurnYear1,2022,205,QUKE,L,N,17.45,6.8,80,I,3.8,2,,0.5,3,20,,Y,Y,30,15,1,
_200,PostBurnYear1,2022,206,QUKE,L,N,12.85,6.7,90,I,3.2,2.5,,0.2,2.3,10,,Y,N,,,,
_200,PostBurnYear1,2022,207,QUKE,D,N,48.4,11,,,,,1,0.45,,,,N,N,,,,
_200,PostBurnYear1,2022,208,QUKE,L,N,61.05,15.2,90,C,0.8,3.25,,0.6,2,5,,N,Y,29,30,2,
_200,PostBurnYear1,2022,209,QUKE,L,N,41.1,14.6,80,I,1,5,,0.4,2,0.5,,N,N,,,,
_200,PostBurnYear1,2022,210,PIJE,L,N,10.35,5.2,100,S,1,1,,0,,,,N,N,,,,
_200,PostBurnYear1,2022,211,QUKE,L,N,63.4,9.8,100,I,0.6,4,,0,2,0.5,,N,N,,,,
_190,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_190,PostBurnYear1,2022,226,QUKE,L,N,15.1,7,100,I,0,2.5,,,,,,N,N,,,,
_190,PostBurnYear1,2022,227,QUKE,L,N,18,7.4,100,I,0,2.75,,,,,,N,N,,,,
_190,PostBurnYear1,2022,228,QUKE,L,N,9.45,5.8,100,I,1,2.25,,,,,,N,N,,,,
_190,PostBurnYear1,2022,229,QUKE,L,N,9.15,5.7,100,I,0.5,2.25,,,,,,N,N,,,,
_190,PostBurnYear1,2022,230,QUKE,L,N,10.15,4.3,100,I,0,1.5,,,,,,N,N,,,,
_190,PostBurnYear1,2022,231,QUKE,L,N,13.1,6.3,100,C,0.1,2,,,,,,N,N,,,,
_190,PostBurnYear1,2022,232,QUKE,L,N,10.9,6.5,90,C,1.1,2,,,,,,N,N,,,,
_190,PostBurnYear1,2022,236,QUKE,L,N,9.15,6.5,100,I,0,1.5,,,,,,N,N,,,,
_190,PostBurnYear1,2022,238,QUKE,L,N,45.85,8.6,80,C,0,4,,,,,,N,N,,,,Top broke.
_191,PostBurnYear1,2022,,,,,,,,,,,,,,,,,,,,,
_191,PostBurnYear1,2022,240,QUKE,L,N,15.8,7.9,100,I,0.4,3.5,,,,,,N,N,,,,
_191,PostBurnYear1,2022,241,QUKE,L,N,12.85,6,100,I,0.5,1.5,,,,,,N,N,,,,
_191,PostBurnYear1,2022,242,QUKE,L,N,13.3,7.5,100,I,2,1.5,,,,,,N,N,,,,
_191,PostBurnYear1,2022,243,QUKE,L,N,10.9,6,100,I,0.6,1.5,,,,,,N,N,,,,
_191,PostBurnYear1,2022,244,QUKE,L,N,11.95,6.1,100,I,0.8,2,,,,,,N,N,,,,
_191,PostBurnYear1,2022,245,QUKE,L,N,8.05,2.5,100,S,0.6,1.5,,,,,,N,N,,,,
_191,PostBurnYear1,2022,246,QUKE,L,N,25.6,10,100,C,0.5,2.5,,,,,,N,N,,,,
_191,PostBurnYear1,2022,247,QUKE,L,N,8.5,5.1,100,S,0.6,1,,,,,,N,N,,,,
_191,PostBurnYear1,2022,251,QUKE,L,N,14.7,7.2,100,I,0,2,,,,,,N,N,,,,
_191,PostBurnYear1,2022,252,QUKE,L,N,13.05,6,100,I,0,1.25,,,,,,N,N,,,,
