"","macro_plot_name","monitoring_status","date","size_cl_dia","status","avg_ht","comment","tag_no","top_kill_y_n","resprout_y_n","epicormic_resprout_y_n","basal_resprout_y_n","basal_resprout_height_cm","basal_resprout_width_cm","basal_resprout_count","uv2","uv3","uv1desc","uv2desc","uv3desc","sa_comment","species_symbol","treatment_burn","experiment"
"85","_128","PreBurn","8/19/2020 17:07",1,"L",2,"CEBE_ST",668,NA,NA,NA,NA,NA,NA,NA,"1",0,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"86","_129","PreBurn","8/19/2020 17:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"pre_budbreak","old"
"87","_129","PreBurn","8/19/2020 17:07",1.4,"L",2.1,"ROCA_SM",604,NA,NA,NA,NA,NA,NA,NA,"0",3,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"88","_129","PreBurn","8/19/2020 17:07",0.4,"L",1.5,"ROCA_SM",607,NA,NA,NA,NA,NA,NA,NA,"0",0.8,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"89","_129","PreBurn","8/19/2020 17:07",0.55,"L",1.6,"ROCA_SM",611,NA,NA,NA,NA,NA,NA,NA,"0",0.1,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"90","_129","PreBurn","8/19/2020 17:07",1.5,"L",2.2,"ROCA_SM",613,NA,NA,NA,NA,NA,NA,NA,"0",1,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"91","_129","PreBurn","8/19/2020 17:07",6.75,"L",5.25,"ROCA_SM",616,NA,NA,NA,NA,NA,NA,NA,"0",0.7,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"92","_129","PreBurn","8/19/2020 17:07",4.4,"L",3,"ROCA_SM",618,NA,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"93","_129","PreBurn","8/19/2020 17:07",1.6,"L",2.5,"ROCA_SM",619,NA,NA,NA,NA,NA,NA,NA,"0",0.1,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"94","_129","PreBurn","8/19/2020 17:07",6.8,"L",3.2,"ROCA_SM",620,NA,NA,NA,NA,NA,NA,NA,"0",0,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"95","_129","PreBurn","8/19/2020 17:07",3.6,"L",2.2,"ROCA_SM",621,NA,NA,NA,NA,NA,NA,NA,"0.1",0,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"96","_130","PreBurn","8/19/2020 17:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"97","_130","PreBurn","8/19/2020 17:07",0.3,"L",1.5,"CEBE_SM",639,NA,NA,NA,NA,NA,NA,NA,"0",3,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"98","_131","PreBurn","8/19/2020 17:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"99","_131","PreBurn","8/19/2020 17:07",2.35,"L",2.1,"ROCA_SM",673,NA,NA,NA,NA,NA,NA,NA,"1.5",3,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"100","_132","PreBurn","8/19/2020 17:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"101","_132","PreBurn","8/19/2020 17:07",5.8,"L",2.7,"ERWR_SL",625,NA,NA,NA,NA,NA,NA,NA,"0.05",4,NA,NA,NA,NA,"PIJE","post_budbreak","old"
"102","_132","PreBurn","8/19/2020 17:07",7.2,"L",4,"PIJE_TOV",627,NA,NA,NA,NA,NA,NA,NA,"0.1",4.5,NA,NA,NA,NA,"PIJE","post_budbreak","old"
"103","_132","PreBurn","8/19/2020 17:07",3.5,"L",2.1,"ROCA_SM",629,NA,NA,NA,NA,NA,NA,NA,"0",1.1,NA,NA,NA,NA,"PIJE","post_budbreak","old"
"104","_133","PreBurn","8/19/2020 17:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"post_budbreak","old"
"105","_133","PreBurn","8/19/2020 17:07",4.1,"L",3.6,"ERWR_SL",686,NA,NA,NA,NA,NA,NA,NA,"1",2.3,NA,NA,NA,NA,"QUKE","post_budbreak","old"
"106","_134","PostBurnYear1","8/30/2021 14:22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"pre_budbreak","old"
"107","_134","PostBurnYear1","8/30/2021 14:22",0,"D",NA,NA,739,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"108","_134","PostBurnYear1","8/30/2021 14:22",0,"D",NA,NA,746,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"109","_134","PostBurnYear1","8/30/2021 14:22",0,"D",NA,NA,748,"Y","Y","N","Y",55,65,24,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"110","_134","PostBurnYear1","8/30/2021 14:22",0,"D",NA,"New tag 882",749,"Y","Y","N","Y",61,66,21,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"111","_134","PostBurnYear1","8/30/2021 14:22",2.5,"D",2.6,NA,750,"Y","Y","N","Y",88,153,19,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"112","_134","PostBurnYear1","8/30/2021 14:22",2.25,"D",2.7,NA,751,"Y","Y","N","Y",102,108,10,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"113","_134","PostBurnYear1","8/30/2021 14:22",0.6,"D",1.6,"New tag 883",752,"Y","Y","N","Y",55,54,5,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"114","_134","PostBurnYear1","8/30/2021 14:22",3.95,"D",3.2,NA,753,"Y","Y","N","Y",150,94,7,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"115","_134","PostBurnYear1","8/30/2021 14:22",0.5,"L",1.5,NA,884,"N","Y","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"116","_135","PostBurnYear1","8/30/2021 14:22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"pre_budbreak","old"
"117","_135","PostBurnYear1","8/30/2021 14:22",5.35,"D",2,NA,724,"N","N","N","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIJE","pre_budbreak","old"
"118","_135","PostBurnYear1","8/30/2021 14:22",1.75,"D",2.2,NA,727,"Y","Y","N","Y",90,65,19,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"119","_135","PostBurnYear1","8/30/2021 14:22",2.05,"D",2.3,NA,728,"Y","Y","N","Y",64,120,10,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"120","_135","PostBurnYear1","8/30/2021 14:22",1.3,"D",2.1,NA,729,"Y","Y","N","Y",57,64,9,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"121","_136","PostBurnYear1","8/30/2021 14:23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tag","D. to Plant","D. to CWD","neighbor",NA,"pre_budbreak","old"
"122","_136","PostBurnYear1","8/30/2021 14:23",0.2,"D",1.7,NA,713,"Y","Y","N","Y",97,93,14,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"123","_136","PostBurnYear1","8/30/2021 14:23",1,"D",1.6,NA,714,"Y","Y","N","Y",72,97,7,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
"124","_136","PostBurnYear1","8/30/2021 14:23",0.5,"D",1.6,NA,715,"Y","Y","N","Y",105,107,13,NA,NA,NA,NA,NA,NA,"QUKE","pre_budbreak","old"
