MacroPlot Name,Monitoring Status,Date,Index,SizeClDia,Status,Count,AvgHt,AvgCrwnRto,SubFrac,Comment,TagNo,Top Kill (Y/N),Resprout (Y/N),Epicormic Resprout (Y/N),Basal Resprout (Y/N),Basal Resprout Height (cm),Basal Resprout Width (cm),Basal Resprout Count,UV2,UV3,MacroPlotSize,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited
_150,PreBurnYear1,9/17/2020 9:00,-2147483647,0.45,L,1,1.45,,1,QUKE_TSA,825,,,,,,,,0;4,3,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483646,1.55,L,1,2.2,,1,QUKE_TSA,826,,,,,,,,0.4,3.4,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483645,1,L,1,1.7,,1,QUKE_TSA,827,,,,,,,,0.5,2,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483644,0.4,L,1,1.5,,1,QUKE_TSA,828,,,,,,,,0.5,0.6,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483643,1.2,L,1,2.3,,1,QUKE_TSA,829,,,,,,,,1.5,0.6,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483642,3.2,L,1,3,,1,QUKE_TSE,830,,,,,,,,1,2,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483641,4.85,L,1,3.5,,1,QUKE_TSE,831,,,,,,,,1,1.8,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483640,2.5,L,1,2.5,,1,QUKE_TSE,832,,,,,,,,1,0.5,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483639,4.2,L,1,2.1,,1,QUKE_TSE,833,,,,,,,,1,1,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483638,5,L,1,3.8,,1,ERWR_SL,834,,,,,,,,0.5,3.8,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483637,7.2,L,1,4.2,,1,ERWR_SL,835,,,,,,,,0.8,4.1,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483636,2.7,L,1,3.3,,1,ERWR_SL,836,,,,,,,,0.2,6.2,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483635,0.49,L,1,1.55,,1,QUKE_TOV,839,,,,,,,,1.5,2,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483634,0.4,L,1,1.41,,1,QUKE_TOV,841,,,,,,,,0.8,0.3,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483633,1.35,L,1,2.1,,1,PRVI_SM,844,,,,,,,,0.4,0.5,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483632,1.75,L,1,3,,1,PRVI_SM,845,,,,,,,,0,0,,,,,,,,QUKE,
_150,PreBurnYear1,9/17/2020 9:00,-2147483631,1.8,L,1,2.7,,1,CEBE_ST,846,,,,,,,,0.5,0,,,,,,,,QUKE,
_151,PreBurnYear1,9/17/2020 9:00,,,,,,,,,,,,,,,,,,,0.04,,,tag,D. to Plant,D. to CWD,neighbor,,TRUE
_151,PreBurnYear1,9/17/2020 9:00,-2147483648,1.8,L,1,1.7,,1,QUKE_TOV,586,,,,,,,,0.4,0.7,,,,,,,,PIJE,
_151,PreBurnYear1,9/17/2020 9:00,-2147483647,2.5,L,1,1.9,,1,ROCA_SM,590,,,,,,,,0,0.65,,,,,,,,QUKE,
_151,PreBurnYear1,9/17/2020 9:00,-2147483646,7,L,1,4.1,,1,ROCA_SM,593,,,,,,,,0,2.5,,,,,,,,QUKE,
